proposal_id,chain,original_id,title,type,status,timestamp,voting_start,voting_end,tx_hash,proposer,high_level_category,topic_subject,passed
kava_28,kava,28,Add HARD to the pricefeed,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1607402306964,1607402306964,1608007106964,undefined,undefined,ParameterChange,Fee Adjustment,True
secret_25,secret,25,DeFi Readiness Network Upgrade Codename Ferenginar,Text,PASSED,1607612503298,1607618310397,1608223110397,undefined,undefined,TextProposal,Governance Process,True
kava_29,kava,29,Add HARD to the list of allowed CDP collaterals,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1608231120530,1608231120530,1608835920530,undefined,undefined,ParameterChange,Protocol Configuration,True
kava_30,kava,30,Reduce BUSD incentives by 50,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1608231233581,1608231233581,1608836033581,undefined,undefined,ParameterChange,Protocol Configuration,True
secret_26,secret,26,Designated Secrettipbot Development Proposal,CommunityPoolSpend,PASSED,1608396379728,1608396379728,1609001179728,undefined,undefined,CommunityPoolSpend,Community Support,True
secret_27,secret,27,Disable  Remove ENG to SCRT Burn components,ParameterChange,PASSED,1609185127668,1609185767658,1609790567658,undefined,undefined,ParameterChange,Protocol Configuration,True
cosmos_34,cosmos,34,Luna Mission  Funding ATOM,CommunityPoolSpend,PASSED,1609888166477,1609952988361,1611162588361,undefined,undefined,CommunityPoolSpend,Community Support,True
kava_31,kava,31,Adjust HARD incentives for liquidity providers,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1610145308635,1610145308635,1610750108635,undefined,undefined,ParameterChange,Fee Adjustment,True
kava_32,kava,32,Update USDX minting incentives,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1610145434431,1610145434431,1610750234431,undefined,undefined,ParameterChange,Economic Parameters,True
secret_28,secret,28,Citadelone to integrate SNIP20 tokens sSCRT Converter and Secret Bridges into Mobile  Web Versions,CommunityPoolSpend,PASSED,1610200449699,1610200449699,1610805249699,undefined,undefined,CommunityPoolSpend,Community Support,True
cosmos_35,cosmos,35,Cosmos Stargate Hub Upgrade Proposal 2 Time to Upgrade,Text,PASSED,1610415427471,1610421419677,1611631019677,undefined,undefined,TextProposal,Governance Process,True
cosmos_36,cosmos,36,Delay of Hub Stargate Upgrade for approximately 2 weeks,Text,PASSED,1611503512051,1611508959722,1612718559722,undefined,undefined,TextProposal,Governance Process,True
cosmos_37,cosmos,37,Stargate Upgrade Second time is a charm,Text,PASSED,1611868050044,1611898554623,1613108154623,undefined,undefined,TextProposal,Governance Process,True
kava_33,kava,33,Add HBTC to Kava,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1612222773320,1612222773320,1612827573320,undefined,undefined,ParameterChange,Economic Parameters,True
akash_2,akash,2,Akash Network Upgrade Proposal 1,Text,PASSED,1612367946910,1612379255737,1613588855737,undefined,undefined,TextProposal,Governance Process,True
kava_34,kava,34,Add HBTC to the list of allowed CDP collaterals,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1612926256938,1612926256938,1613531056938,undefined,undefined,ParameterChange,Protocol Configuration,True
kava_35,kava,35,Increase USDX debt limits,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1613496241683,1613496241683,1614101041683,undefined,undefined,ParameterChange,Fee Adjustment,True
kava_36,kava,36,Increase Minimum Staking Inflation Param,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1613496601186,1613496601186,1614101401186,undefined,undefined,ParameterChange,Economic Parameters,True
kava_36,kava,36,Increase Minimum Staking Inflation Param,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1613496601186,1613496601186,1614101401186,undefined,undefined,ParameterChange,Economic Parameters,True
akash_3,akash,3,Akash Network  Mainnet Upgrade Proposal  2,Text,PASSED,1613749825910,1613752172279,1614961772279,undefined,undefined,TextProposal,Network Policy,True
kava_37,kava,37,Kava 5 Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,PASSED,1614114622693,1614114622693,1614719422693,undefined,undefined,TextProposal,Governance Process,True
cosmos_38,cosmos,38,Signal Proposal to Adopt the Liquidity Module onto the Cosmos Hub,SoftwareUpgrade,PASSED,1614583932270,1614748762474,1615958362474,21BDB216EDB157444A456442A445FFEFF55617C3AE70E938F257D243CBD3B504,cosmos10e4vsut6suau8tk9m6dnrm0slgd6npe3hjqndl,SoftwareUpgrade,Major Release,True
kava_38,kava,38,Add USDX incentives for HBTC update BTCB incentives,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1615252126714,1615252126714,1615856926714,undefined,undefined,ParameterChange,Protocol Configuration,True
akash_4,akash,4,Enable IBC Clients,ParameterChange,PASSED,1615312958483,1615312958483,1616522558483,81006C190ED97B43E3F586BF2876723998C21AB676B11893D0532D48A353FD2F,akash1lhenngdge40r5thghzxqpsryn4x084m9jkpdg2,ParameterChange,Staking Parameters,True
cosmos_41,cosmos,41,Enable IBC transfers,ParameterChange,PASSED,1615587724759,1615797934255,1617007534255,5F942F0226AFFF1011D86480979A579563D504879778D8FC4A0F2BC36C50B206,cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,ParameterChange,Staking Parameters,True
kava_39,kava,39,Kava 51 Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,REJECTED,1615918851198,1615918851198,1616523651198,undefined,undefined,TextProposal,Governance Process,False
kava_39,kava,39,Kava 51 Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,REJECTED,1615918851198,1615918851198,1616523651198,undefined,undefined,TextProposal,Governance Process,False
kava_40,kava,40,Kava 51 Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,REJECTED,1616557352912,1616557352912,1617162152912,undefined,undefined,,,False
akash_5,akash,5,Akash Netwok Software Upgrade Proposal,SoftwareUpgrade,PASSED,1616567585481,1616569433652,1617779033652,3D831A5383603FA06F0890808DBEAF86242DC57E4A0C007D903D1B44860D381A,akash1qwlcuf2c2dhtgy8z5y7xxqev96km0n5mynpeqq,SoftwareUpgrade,Feature Addition,True
iris_1,iris,1,Upgrade to irishub v110,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1616765489430,1616765541609,1617197541609,52AF614C4966F629BD853256E3F30FDC28E78673BC74DF0D7C9D6463D1A829E7,iaa12060eqmpeskvs9ffyctrsfhdl33v8z3fgldst3,SoftwareUpgrade,Major Release,True
iris_2,iris,2,Enable IBC transfers,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1616850208808,1616850320010,1617282320010,1A43C585E5295E5C33CDE8097F5B97059D93A738ECAE76443CA8E97287BAD659,iaa12060eqmpeskvs9ffyctrsfhdl33v8z3fgldst3,ParameterChange,Protocol Configuration,True
kava_41,kava,41,Kava 7 Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,PASSED,1617214625836,1617214625836,1617819425836,undefined,undefined,TextProposal,Governance Process,True
cosmos_42,cosmos,42,ZKValidator Community Spend Proposal,CommunityPoolSpend,PASSED,1617617812060,1617898503192,1619108103192,23342C5FF7D96B57ECEFF17FE1FC8340CA83745C22DA89C15515C9B844FF7081,cosmos1cdwzuhvkzm2sek8uysy0tefkxuqv7qlhtk24ry,CommunityPoolSpend,Community Support,True
cosmos_44,cosmos,44,Advancing Ethermint GTM and Engineering Plan for the Ethermint Chain,CommunityPoolSpend,PASSED,1617697218765,1617743110487,1618952710487,186D9E0E23CEBD5B02C9D10DBA278B0A7825115432D0A5632C1A1B55D00DFF95,cosmos1849m9wncrqp6v4tkss6a3j8uzvuv0cp7wcgvqa,CommunityPoolSpend,Development Fund,True
